Category ID,Category Name,PMID,PMC Free Fulltext,Title,Authors,Publication Date,Journal,DOI,PubMed Link,PMC / Fulltext Link
1,RED-S & Low Energy Availability,42488699,PMC13388725,Optimising gynaecological surgical care for elite female athletes: a narrative review.,"Lockett G, Kechagias KS, Thomson A et al.",2026,Front Sports Act Living,10.3389/fspor.2026.1746638,https://pubmed.ncbi.nlm.nih.gov/42488699/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13388725/
1,RED-S & Low Energy Availability,42245081,PMC13230000,Protecting women's health in sport: the role of low energy availability in the Female Athlete Triad and RED-S.,"Ghazzawi HA, Khataybeh B, Al Aqaili R et al.",2026,Front Sports Act Living,10.3389/fspor.2026.1776533,https://pubmed.ncbi.nlm.nih.gov/42245081/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13230000/
1,RED-S & Low Energy Availability,42043094,PMC13119755,A Longitudinal Evaluation of Bone Mineral Density Across a Macrocycle in Highly Trained Female Athletes: A Systematic Review.,"Black GM, Wells M, Devlin BL",2026 Apr 17,Sports (Basel),10.3390/sports14040162,https://pubmed.ncbi.nlm.nih.gov/42043094/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13119755/
1,RED-S & Low Energy Availability,41683203,PMC12899827,Rethinking Energy Availability from Conceptual Models to Applied Practice: A Narrative Review.,"Espinar S, Sánchez-Fernández MA, Martin-Olmedo JJ et al.",2026 Jan 23,Nutrients,10.3390/nu18030379,https://pubmed.ncbi.nlm.nih.gov/41683203/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12899827/
2,Menstrual Cycle & Nutrition/Training,41978194,PMC13074237,Menstrual Cycle and Hormonal Contraceptives in Female Athletes: Should Symptoms and Nutrition Matter More than Cycle Phase? A Narrative Review.,"Natalucci V, Spinello G, Moro T et al.",2026 Apr 2,Nutrients,10.3390/nu18071144,https://pubmed.ncbi.nlm.nih.gov/41978194/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13074237/
2,Menstrual Cycle & Nutrition/Training,41635506,PMC12862602,Female trail running: a systematic scoping review.,"Espasa-Labrador J, Sandbakk Ø, Cebrián-Ponce Á et al.",2025,Front Sports Act Living,10.3389/fspor.2025.1694925,https://pubmed.ncbi.nlm.nih.gov/41635506/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12862602/
2,Menstrual Cycle & Nutrition/Training,41476925,PMC12747961,"Exercise performance at different phases of the menstrual cycle: measurements, differences, and mechanisms - a narrative review.","Wen Y, Gao B, Wang R et al.",2025,Front Endocrinol (Lausanne),10.3389/fendo.2025.1448686,https://pubmed.ncbi.nlm.nih.gov/41476925/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12747961/
3,Resistance & Endurance Training in Women,42438653,PMC13356583,Endogenous Hyperandrogenism in Women and Its Influence on Exercise Capacity and Athletic Performance: A Narrative Review.,"Galas K, Lewandowska P",2026 Jun,Cureus,10.7759/cureus.110713,https://pubmed.ncbi.nlm.nih.gov/42438653/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13356583/
3,Resistance & Endurance Training in Women,41841062,PMC12989158,Testosterone Replacement Therapy in Athletes: Implications for Injury Recovery and Musculoskeletal Performance.,"Canal de Velasco LM, González Flores JE, Azcona Cervera A et al.",2026 Feb,Cureus,10.7759/cureus.103530,https://pubmed.ncbi.nlm.nih.gov/41841062/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12989158/
3,Resistance & Endurance Training in Women,41766799,PMC12946880,Factors Influencing the Efficacy of Concurrent Training in Team Sports: A Narrative Review.,"Tundidor-Duque R, Pareja-Blanco F, Drozd M et al.",2026 Jan,J Hum Kinet,10.5114/jhk/216685,https://pubmed.ncbi.nlm.nih.gov/41766799/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12946880/
5,Oral Contraceptives & Sports Performance,39057670,PMC11278889,"Effects of the Menstrual Cycle and Hormonal Contraceptive Use on Metabolic Outcomes, Strength Performance, and Recovery: A Narrative Review.","Cabre HE, Gould LM, Redman LM et al.",2024 Jun 21,Metabolites,10.3390/metabo14070347,https://pubmed.ncbi.nlm.nih.gov/39057670/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11278889/
5,Oral Contraceptives & Sports Performance,37221858,PMC10210857,International society of sports nutrition position stand: nutritional concerns of the female athlete.,"Sims ST, Kerksick CM, Smith-Ryan AE et al.",2023 Dec,J Int Soc Sports Nutr,10.1080/15502783.2023.2204066,https://pubmed.ncbi.nlm.nih.gov/37221858/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10210857/
5,Oral Contraceptives & Sports Performance,33794937,PMC8015182,Sex differences and considerations for female specific nutritional strategies: a narrative review.,"Wohlgemuth KJ, Arieta LR, Brewer GJ et al.",2021 Apr 1,J Int Soc Sports Nutr,10.1186/s12970-021-00422-8,https://pubmed.ncbi.nlm.nih.gov/33794937/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8015182/
6,Ergogenic Supplements & Sports Nutrition,42488219,PMC13388447,"Effects of acute caffeine supplementation on physical, physiological, and sport-specific performance in female volleyball players: a systematic review and three-level meta-analysis.","Zhang Z, Wang Y, Lu Z et al.",2026,Front Nutr,10.3389/fnut.2026.1880118,https://pubmed.ncbi.nlm.nih.gov/42488219/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13388447/
6,Ergogenic Supplements & Sports Nutrition,42253738,PMC13236873,Caffeine and physical performance in female intermittent sport athletes: a systematic review and meta-analysis considering menstrual cycle phase.,"Tan ZS, Burns SF, Lee YX et al.",2026,Front Nutr,10.3389/fnut.2026.1817134,https://pubmed.ncbi.nlm.nih.gov/42253738/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13236873/
6,Ergogenic Supplements & Sports Nutrition,41809105,PMC12968231,"A systematic review and meta-analysis of the evidence on the acute effects of caffeine on sport-specific skills, physical performance, and physiological function in female basketball players.","Zhang Z, Yin M, Qiu B et al.",2026,Front Nutr,10.3389/fnut.2026.1766993,https://pubmed.ncbi.nlm.nih.gov/41809105/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12968231/
